wallet,Risk_Score,portfolio_value_usd,SOL_balance,Farming_Attempts,Total_Tokens,Farming_Ratio_Percentage,Avg_Risk_Last_10_Tokens,Avg_MC_Last_10_Tokens,Winrate,ROI,ROI_1d,Win_Rate_1d,ROI_7d,Win_Rate_7d,ROI_30d,Win_Rate_30d,Realized_Gains,Unrealized_Gains,Average_Holding_Time_min,Avg_Buy_Size,Avg_Profit_Per_Trade_%,Avg_Loss_Per_Trade_%
8zkgFGVZrDLieViwqiXFCydSX6WL5hsxmUu55yBdsNsZ,39.82,158619.70,515.7655,0,2227,0.00,3.40,427477.78,47.87,2.92,5.18,50.87,41.20,51.40,100.00,47.87,294309.30,-1511.50,4438.71,261.42,-,-
HYzmQTwiPr869zeMgBjaik1baixbTKkwZxCR9DrYFfAn,39.96,9873.23,0.0000,8,131,6.11,3.00,4589.45,64.89,93.08,31.60,33.33,66.70,53.85,232.10,63.46,59138.54,0.00,152.77,57.18,302.39%,-49.40%
6uFwP57FidsasLoKWQNRGFtUxeJmAwRLfP5Y1zzxJYvW,39.97,5634.60,0.0000,0,22,0.00,2.40,15371498.13,81.82,82.24,39.94,100.00,39.96,50.00,4528.07,71.43,2828.16,-0.00,10235.59,150.06,37892.19%,-36.18%
7rNFoFcWkvq6BGHUi4Jkc3FFVRKMnN2QdyJkRePgHMMu,40.07,836470.99,0.0000,0,2965,0.00,4.30,436237.32,49.58,0.27,1.06,45.57,27.78,56.91,75.47,50.21,6765.05,-752.53,10246.27,32.31,6.86%,-11.06%
Cr5E4nnqeaAV8SNzFRsMQFUmGwydJc9xrWkzne9CbqBt,40.09,7721.62,0.0000,9,101,8.91,2.60,8261394.11,68.32,11.41,2.92,80.00,32.46,50.00,118.18,78.57,7520.90,-71.31,8227.66,137.63,21.14%,-30.82%
5M2SXDfAsXW2GoShp725PM2NUhpSPtbDHpvaPdWhLP68,40.37,20312.90,0.0000,1,40,2.50,2.80,775962171.67,50.00,60.59,0.00,0.00,0.77,66.67,235.76,66.67,19919.98,3403.64,8854.23,454.60,92.10%,-36.35%
GyPkHWtLL8p2yLYcbKHhCrjTT53SHVyWtEdqFKGEQfk,40.38,1469.31,0.0000,0,28,0.00,1.90,18782867.59,53.57,23.10,150.18,100.00,446.29,100.00,416.04,100.00,1245.38,780.54,9676.81,138.14,47.38%,-31.41%
8mAYxHD7rchmTgmaGjLKLqFbfAJD5keoehkfjdS75Ko5,40.41,785418.05,0.0000,4,350,1.14,3.30,673059.20,66.57,1.56,3.06,69.57,5.85,68.42,100.00,66.57,36444.96,-198.63,9087.73,146.32,-,-
AdGaBSNX9eE5nViaoP7SDgGBtpfU9ebhM9fwRfbWEpa1,40.54,8375.26,0.0000,0,38,0.00,3.50,4674460.76,55.26,41.98,0.00,0.00,4.02,66.67,163.49,86.67,9133.49,1594.63,12755.10,98.06,92.17%,-54.74%
AbG8qwk8UTjKQRafv2syr5Rv1sEW5PkQvhKKAUjzK2fR,40.57,1266947.48,0.0000,2,36,5.56,2.90,5864865.28,55.56,3.80,5.91,100.00,19.62,66.67,100.00,55.56,33362.86,-2350.42,1936.40,478.58,-,-
71JELvd4KDYDoD6eQ71FBPjkHhuKBFXBTGF9AbGePSMb,40.60,78359.94,0.0000,0,70,0.00,0.40,9037830.58,77.14,242.82,-0.00,0.00,-0.00,0.00,24.48,100.00,107475.02,-855.95,44709.39,254.56,625.34%,-40.54%
6URwtLKpu2vA1NnDWAvTLJA1T3RawRQjHZ3X16cHzBv5,40.60,52753.31,0.0000,3,68,4.41,3.00,19513813.30,51.47,6.73,2.07,50.00,4.32,61.54,2225.96,51.52,8953.25,44.12,2719.98,599.45,7.58%,-
3ZXXPAJ3wo1cCLXpKdrehnWqk3KVTBpuDNvvjuHCrDr5,40.63,45519.06,0.0000,21,540,3.89,3.90,225645.19,51.11,5.42,13.64,72.73,33.78,55.56,68.95,47.70,6920.93,328.09,318.82,179.67,41.38%,-34.90%
FbtFFgYwyT2RNqyByhKVUQxsacFDjhGjfMBc12uvJbfd,40.97,50180.13,0.0000,9,239,3.77,4.80,302163.25,61.92,4.54,2.81,75.00,11.43,70.00,323.20,64.71,1770.84,-508.53,390.23,94.47,111.32%,-60.75%
AZch7gibEUwFCAaoowUE18SE8rDGJ9VHYw9BHcQLpHwj,41.21,35505.97,0.0000,1,22,4.55,1.11,440632334.04,77.27,109.95,0.18,100.00,41.83,100.00,68.22,60.00,165985.84,1654.57,140551.22,3224.03,4038.01%,-71.15%
2XkTQezBu89TGNdsQ8JYJ8cYKyEcyco8SA7qdDMY4psx,41.25,2237827.01,0.0000,0,65,0.00,7.40,285253388.90,72.31,0.93,0.00,100.00,0.21,69.23,0.84,66.67,103803.56,8955.74,84347.73,792.68,14.44%,-10.67%
DzFkEdqJNVQTri6gVJKvGWyaBx8QY4EuALySpsHxXuUL,41.30,69021.43,0.0000,0,125,0.00,4.20,923331.87,78.40,12.64,0.29,50.00,2.97,85.71,8.45,72.13,121901.90,16215.54,83437.93,277.17,62.57%,-13.79%
G4uZNyvz8xwxswKNMRjptFxnsJDTEpbDxeBw2GsAXpoq,41.49,711.51,0.0000,1,91,1.10,1.40,708629723.57,60.44,16.29,0.00,0.00,49.75,100.00,14.13,50.00,7783.78,310.94,26057.76,119.28,46.08%,-20.68%
96u3KR7q2m3nsLjmPTFiDGGn281ggmGg53m93noignPx,41.58,98287.07,0.0000,4,408,0.98,3.40,731899.99,61.52,3.42,0.00,0.00,4.72,50.00,54.66,64.96,9192.49,-1137.87,833.30,151.42,11.70%,-21.78%
2zPppHHvSiikfrtrab89cfgouL7WvoatSYo6iej7rMZZ,41.73,1189068.47,0.0000,0,1753,0.00,3.40,659270.89,56.59,1.19,0.18,57.89,1.42,56.86,15.46,52.79,49327.61,-2505.14,14155.88,78.06,7.53%,-7.92%
4G4wDz1ZKBDyAnuhivNJ159b1ugpqhAHzP9Ta1P1G9zk,42.08,39843.81,0.0000,2,64,3.12,1.30,809201547.34,67.19,231.10,0.00,100.00,0.00,100.00,15.26,83.33,150559.20,18387.26,3435.57,452.33,836.18%,-44.16%
EXw2CijtAzaHu2den13fZKSVHdscBmc4bWixc7jmtQyC,42.23,51950.27,0.0000,10,132,7.58,3.10,4405.59,62.12,97.85,2.10,50.00,51.11,50.00,5634.45,63.64,65993.33,0.00,144.44,60.40,351.16%,-49.55%
FHkpZoPnvdTGYuuZ8YWtrUvn46RDWyRUYa1XdXo6vXTp,42.27,352903.40,0.0000,5,608,0.82,3.70,437587.76,62.34,3.02,3.56,76.27,3.89,75.51,100.00,62.34,9570.42,-617.34,6296.55,51.04,-,-
GJEMpQ3h7ro5T2ZA24RKCeJMMJFUrSZeyXdwFKXRJpNz,42.27,3725.87,0.0000,0,19,0.00,0.00,944660062.40,47.37,20.55,0.00,100.00,34.61,100.00,93.08,66.67,3108.06,493.12,28016.64,235.76,68.51%,-47.11%
4DcK1tjjPDyEx1qMCezdezroDDPjTq8mEpZ9MuQ3wgeA,42.60,205319.78,0.0000,0,17,0.00,0.40,720738661.73,52.94,24.70,0.01,100.00,0.01,100.00,30.57,66.67,215752.73,3597.11,44011.02,31327.89,55.40%,-31.55%
BnZgcbMB5sR6TEmdU3RJYxzZBVzEwRhpF6pZweq3K5cQ,42.95,3913.75,0.0000,0,16,0.00,2.80,58059249.89,68.75,21.53,0.70,100.00,17.45,66.67,110.12,68.75,4108.35,-10.32,5444.63,56.39,17.57%,-
DVEhEARvo3HT3sru7LjN1gVPAyjWYc39keddrwvn8dyx,43.22,874382.86,0.0000,0,2311,0.00,3.70,417184.39,58.68,0.76,0.50,68.42,1.46,66.67,65.10,59.44,16441.04,-1783.72,3220.71,61.94,10.68%,-14.25%
BsECKhEBnuMydnqgFjXGTd7nhY2FFPrfahHGmoWzUbiR,43.91,7586.80,0.0000,0,33,0.00,1.00,1702280453.86,51.52,12.99,4.12,100.00,1.18,33.33,229.03,87.50,5323.15,269.33,45094.89,178.46,32.37%,-24.74%
6o92dprGiqPxPcAK5shbLkWHEwX4ZvU58DNZVuU34SZ2,43.95,88108.04,0.0000,0,24,0.00,4.30,38954.58,62.50,54.49,68.06,100.00,135.50,80.00,100.00,62.50,10365.57,-217.07,1370.07,358.54,-,-
4u4rBf79VHxidHswFSujcDXDnKS2Y9Fr7pQEdAAbsjjW,44.01,862786.28,0.0000,15,5571,0.27,4.20,372392.58,54.16,0.98,0.28,51.85,2.76,67.82,15.28,57.87,42503.13,-11570.84,28740.64,68.92,11.09%,-11.34%
4uaoLRkAq8NqSqUwnufAm3rNUu7V32FHSXWjeMnCTHT9,44.32,902.71,0.0000,1,44,2.27,1.30,424323966.07,77.27,45.22,0.00,66.67,0.10,75.00,3.12,63.64,7239.28,60.49,19950.74,37.83,80.96%,-19.60%
9AVVo5hQ1N51RZm4ZLbeeRvXT9eDrLnKuyViy4UMWoks,44.35,14600.65,0.0000,0,34,0.00,4.90,373476609573184376651047239680.00,50.00,80.36,0.04,100.00,0.01,50.00,21.81,62.50,13829.78,2290.77,17959.12,147.50,87.10%,-33.50%
2LhSrHe5RN5TwQESKeTPxZsX16MRMJzFGXGffABn4ueY,44.36,267020.10,0.0000,0,3041,0.00,4.10,244771.96,53.40,0.99,0.23,50.00,16.60,58.95,511.90,54.61,8554.51,-814.00,3928.54,35.65,7.92%,-10.61%
5cBdQwf914hXAjWR2HJe6rhB7rAJDbgasZZtpF2dQNfR,44.39,671.91,0.0000,4,90,4.44,1.30,1355036891.34,51.11,19.16,0.00,0.00,0.05,66.67,12.35,41.67,3107.35,26.80,47978.22,57.82,285.36%,-17.14%
5MWRP3g9GiD7cJPZdH3z2G43cCfDhrW7fBwXYkwPFRFr,44.49,1611612.59,0.0000,0,2536,0.00,3.90,578822.47,53.39,0.57,1.49,54.05,3.65,51.82,47.14,52.57,28835.88,-1402.70,12576.30,64.79,5.91%,-9.22%
FSUFgD533mUSzTYGvCXz6dsCL7K3i5wKpeUbdwXkMmNt,44.51,53994.36,0.0000,1,67,1.49,3.60,563006.66,55.22,15.96,10.93,100.00,27.05,76.92,874.43,53.33,8233.74,775.22,3684.95,338.15,55.29%,-48.44%
EfjzGwxb8Vx6om8i9RDcb3FGbm3kebDQCwLAfNZyt5ke,44.55,339666.01,0.0000,0,13,0.00,1.70,74594442.75,84.62,2.27,0.00,0.00,1.49,100.00,50.99,87.50,26681.08,-25.70,4579.68,1905.18,2.08%,-4.97%
jRhC7ez7XzdEoa8nttoi3VZf1NTASp7yYudC2F4WmgB,44.59,361767.61,0.0000,2,537,0.37,4.00,925007.24,52.70,1.80,0.18,40.00,2.45,38.89,8.21,48.68,12391.02,-2471.02,9247.55,100.75,546.26%,-22.87%
YvVR3FpEw12bYSdM5rkR1TppcrPNfkASkYnpb6ryPBW,44.68,43396.96,0.0000,10,326,3.07,4.90,314082.79,54.29,15.91,0.59,66.67,16.79,73.68,32.13,68.09,41349.76,1929.90,56736.56,173.18,51.16%,-24.93%
AqcRo2XfRqLZBD5SaWkhN4stNuHbiAYMhmLxfCEA9yp7,44.70,113414.91,0.0000,2,46,4.35,0.90,76034798.54,82.61,3.35,0.00,100.00,0.43,100.00,2.50,100.00,27943.53,1292.07,10066.86,211.02,5.38%,-2.61%
EVqi5pm5k5MiLjA9Mxw2t1bKLUz5VVmBTvtr6gN7BKFU,44.79,210024.09,46.4275,25,771,3.24,3.70,1526136.51,45.78,0.39,-0.00,0.00,-0.00,0.00,881.98,53.29,12608.33,-2689.81,12335.00,60.57,2.81%,-9.44%
7T5hzHGwXZdmPTtVekVUy3DZ9gtQeufWrWY6SVZDacQb,44.85,226110.43,0.0000,0,12,0.00,1.90,663982182.30,83.33,353.30,0.00,0.00,2.95,100.00,212.73,100.00,33906.39,-75.29,11352.57,383.20,7421501.12%,-60.69%
7b6UPhJrkuc1s9AFX4HVhgUBxiQPn6Lc6HkQ2eHpKba4,44.90,53856.80,0.0000,0,12,0.00,3.60,111211463.68,58.33,78.36,0.00,0.00,5.29,100.00,1195.91,66.67,18432.35,-473.03,1070.25,987.72,201.96%,-31.61%
DiAhF14pcH1Z3HFHenRN3Y9HqDLYyjj1G2uGMDJWSWgF,44.94,51866.90,0.0000,1,27,3.70,2.60,1161174.78,55.56,4.42,3.37,80.00,10.96,83.33,219.40,52.17,1890.83,-224.19,9879.38,35.86,9.82%,-3.29%
J9eFaABM9PqiJ2PSLPRqDntJaf1RdqbqqsGWzcrRG1rM,44.94,1175.43,0.0000,0,14,0.00,0.30,1142283762.36,50.00,53.11,0.00,100.00,6.47,66.67,145.28,40.00,9806.45,269.55,98814.90,394.01,544.66%,-43.14%
3aVVodVRg3Sd8hEZm2SENDNvSnZa1cZfycKjnxa8m8Kg,45.00,22230.42,0.0000,0,15,0.00,2.00,14292996.86,46.67,123.12,0.00,0.00,3.24,100.00,3917.74,63.64,6721.17,-191.06,2448.49,122.09,224.83%,-72.94%
634KnquTigmQR3kH84F7dH9DuQXHdfmiR7NbeYycuSJL,45.15,161522.10,0.0000,0,29,0.00,2.10,1209253.68,65.52,341.61,0.80,66.67,4.88,75.00,127.49,86.67,98787.06,-1324.64,5525.47,953.39,1581.95%,-49.55%
EL7zPoNAqLZcFPYU2ummeVJ1nGVHp9Gi7a1yTvNyRxWa,45.19,2138917200.88,0.0000,1,76,1.32,8.20,336723899.62,68.42,339606.85,0.01,66.67,0.04,57.14,9.61,56.00,25237.71,0.00,76388.49,0.01,1071234837.22%,-72.65%
A7dXeLfdDjvZKXLypgpMHUe4Wp9pzDXKZVR9x1va3Ccd,45.74,4484.52,0.0000,0,102,0.00,3.80,266830.12,45.10,20.14,11.38,50.00,61.76,47.37,2589.29,48.86,8165.18,2031.53,400.59,223.11,136.64%,-48.72%
9Ff6MD7XnnHzVRBHZLqs6zePkTYM8YxFzYAp1mZvf6X8,45.85,12101.45,0.0000,13,145,8.97,3.10,4502.73,73.10,105.87,3.67,66.67,40.73,53.85,1179.45,73.64,62531.97,0.00,130.93,55.95,254.13%,-45.96%
AxckVzSTQZgyR48Znf6GhFHJhrqQQeteibA9mrXsQFRy,45.90,21600.23,0.0000,2,69,2.90,4.00,72547898.25,78.26,53.29,0.00,0.00,4.23,100.00,8.40,81.82,20332.19,1758.73,46035.59,253.94,53.88%,-22.16%
71sQsk2UXN5xGfwsxcqBgYbypnqLcW6oRmWhwAr9PzGY,45.90,12515.39,0.0000,0,17,0.00,2.60,9084082.06,52.94,18.51,0.00,0.00,4.68,100.00,26.03,100.00,8357.17,2443.43,93737.58,647.65,20.80%,-56.00%
Bv1wdLDGqnAgzBP3mMwE6gVbMZ3mQDW9Za5waWfC63P5,45.90,26962.54,0.0000,0,21,0.00,2.60,317935179.03,57.14,93.64,0.00,0.00,9.29,100.00,329.99,75.00,2807.47,36.94,14370.15,43.64,687.39%,-44.38%
55RPJssRsT2CPXhFw25h9T5P7uqzNfRLX9VfvcuLwbpG,46.01,67313.53,0.0000,0,1843,0.00,3.90,332555.13,52.90,1.29,0.00,0.00,3.05,59.18,137.10,56.65,3581.52,-454.17,2481.92,28.24,10.29%,-9.95%
42Rv6KE7Bb9UMMxxiMdCfwVNcj5sVMi7HnrBX2A71SdD,46.02,49350.18,0.0000,2,71,2.82,2.80,1060825.58,47.89,2.16,0.15,100.00,5.63,75.00,24.67,40.43,2000.83,729.76,4923.35,157.68,5.15%,-8.20%
2Cyq4RQXZSw5VF2hj4ENP43RRZvnLiyAQYHQfq9yJzDk,46.07,14644.74,0.0000,8,139,5.76,3.10,4409.27,69.06,340.02,6.84,100.00,7.64,66.67,1279.22,72.22,226561.17,0.00,149.37,53.82,747.54%,-40.96%
7KY64H48o3o8vg3h4x5p5DVkdFLvMq5FpkMNC5zwSNJw,46.09,9391.90,0.0000,12,135,8.89,3.00,4549.99,65.19,97.54,0.42,100.00,29.16,54.55,210.86,65.35,57483.23,0.00,142.32,59.07,649.15%,-56.34%
3HfhDrCTFVB698oBDeRRtz3F7SLuoDmnsyqaWa5FSdNT,46.10,111929.02,0.0000,0,28,0.00,3.40,217911522.22,46.43,7.61,0.49,100.00,1.78,100.00,80.19,35.00,4337.40,-320.38,34019.21,136.56,42.84%,-41.15%
63FXVdhyKrRKJQ5GkPrKfRo9LGxKhhZZuqL62fPvWsfg,46.11,49612.95,0.0000,7,398,1.76,4.90,37424.19,64.07,4.10,0.81,80.00,2.32,85.00,1.38,72.34,4028.34,-357.77,4361.34,54.53,9.68%,-8.54%
8kb1tL9Un9DKpZg44YhA6L5WQTUQJsCHXP8vWPrkzQBv,46.22,9788.15,0.0000,4,65,6.15,1.90,79111074.04,84.62,281.81,0.00,0.00,2.42,100.00,217.70,100.00,6943.98,-89.86,2500.15,19.71,248.96%,-19.51%
6P1Zr3kVEe5uF2HoT6LD5AqA8rDcMqW9eGNWQqiaQv6,46.23,15552.37,0.0000,3,179,1.68,3.70,388331.88,62.01,31.07,0.49,100.00,0.38,60.00,6.98,50.00,18648.80,903.85,4129.92,192.03,93.20%,-32.39%
NPsvP1eaMWsqmcaVRVx1Jn4hXViHRqjAxGojqcas9GU,46.50,14180.98,0.0000,0,17,0.00,3.00,11548915.92,58.82,35.86,2.76,50.00,4.97,33.33,55.82,77.78,12092.44,4713.75,4326.86,1026.59,176.03%,-33.58%
6cHUVXpjR9dZmoFAqoJYsSDaqdeKs7rbnq2UVinWna1K,46.67,8526.28,0.0000,3,545,0.55,4.80,174001.67,46.42,3.04,7.67,100.00,8.35,77.78,19.30,56.25,7729.56,4107.93,2665.38,272.62,35.77%,-31.33%
Ax42BbtH47o8FzAqt5Y3bZ1MbbNgeA57NwsuKmhqFoBV,46.80,394705.80,0.0000,2,40,5.00,1.20,3856334.49,55.00,2.23,0.00,0.00,1.66,100.00,32.69,75.00,9283.45,-3831.57,22465.76,41.50,3.73%,-10.51%
E3y82qEyBRq4JabSajScP1DNs2Vn9fLbcBDfp32SMonz,46.80,12542.69,0.0000,0,27,0.00,3.20,542114.61,48.15,86.85,0.00,0.00,47.10,80.00,7681.34,48.00,25659.14,8760.90,2656.31,354.47,87.22%,-86.98%
CrWwp54Vt9a9EjHv7oJvxcwehFLiG43mebpLe8eNeqmS,47.27,20755.71,0.0000,2,158,1.27,5.00,29075.70,45.57,8.49,11.48,33.33,12.02,50.00,745.43,48.15,10852.48,892.25,1160.23,366.67,50.91%,-36.61%
HP41nyipcHquqCZr4Pe7JxUi2m7CkQvFgeq7jNkaEWaY,47.50,60999.98,0.0000,2,31,6.45,2.70,10513820.93,74.19,382.89,1.40,33.33,16.12,40.00,211.34,75.00,49707.81,-30.58,5986.85,327.09,208197.18%,-44.24%
Dwrw34QvvP5rxKMQVXdghgzG4pxvFC9cgnoob2vuxVQF,47.74,1315.68,0.0000,1,14,7.14,3.50,6465079.44,78.57,17.47,0.00,0.00,64.92,66.67,131.03,76.92,1507.32,238.13,3715.26,262.16,147.71%,-
GBoqEvAFDjwxwoYHiktWNg4sHupP4qoURYnyHm4jgrg7,47.76,6627.74,0.0000,10,187,5.35,4.50,106113.50,47.59,5.82,4.37,100.00,29.25,53.57,100.00,47.59,4774.13,-29.31,348.21,119.81,-,-
6QRhKhdiLHezL3U9XYpRzeRtivRbr6PxJo9qgU41CexC,47.98,24519.28,0.0000,5,722,0.69,4.40,19198.62,55.40,5.49,0.07,60.00,12.74,51.56,39.62,56.13,12714.99,-248.31,3797.55,130.02,19.39%,-19.29%
AYWkfTjgL2Lh4YM1jWhXPKRZaGSu7fbVjot1Sn3CJ7KS,48.33,19361.21,0.0000,2,186,1.08,3.50,14382.46,50.54,6.56,0.00,0.00,0.31,100.00,144.85,49.67,3192.78,-5.25,151.79,179.41,84.13%,-33.14%
954jk1qhMY5ZhfAbe2RwVdSMTdnQAY4CGWZjPaR9QuRe,48.91,26309.59,0.0000,5,243,2.06,3.90,248632.59,45.68,53.36,0.00,0.00,0.10,100.00,21.61,80.00,11967.62,-305.25,672.27,47.79,15577.83%,-23.50%
12EpatQ2VkSevecsAReX2LRza9zgjmSNuZcCBkqkBERQ,49.00,415867.53,0.0000,0,12,0.00,6.00,1105633.93,58.33,3416.97,0.25,100.00,276.84,100.00,532.61,75.00,321300.65,-14.19,14635.02,378.32,611.28%,-83.39%
HmoKSGXFmoRz8DsLHvaSM1wZiNnkWrwvJ1MbxC8ktFRP,49.06,7532.37,0.0000,1,18,5.56,3.80,574181.75,55.56,8.48,0.00,0.00,386.72,83.33,100.00,55.56,1362.76,69.98,4269.92,481.03,-,-
3z6E4eYowK2whqAqPv5yZjuL68PdXRE65dFB2StBPKNp,49.64,195576.51,0.0000,84,4481,1.87,4.10,336092.34,53.18,1.62,0.56,83.33,0.66,51.92,23.71,52.41,51476.55,-2417.05,1952.60,96.98,12.16%,-20.24%
23PzBe2yPuJjiNe4jEbRx9STxaoKCdJAysnyMQwrMfPL,49.87,8171.06,0.0000,12,137,8.76,3.30,4797.43,69.34,124.18,0.99,33.33,14.65,58.33,348.58,72.12,78942.81,0.00,144.78,57.48,420.78%,-54.13%
FsCjvxvyiX3CVewS8Vjc4XmPupGpkSL8s4fSmRB54fSq,50.26,36302.05,0.0000,31,456,6.80,4.40,241769.34,77.19,4.71,21.35,58.33,6.85,68.18,45.23,72.82,5706.30,301.22,1113.29,52.42,17.48%,-25.81%
DheGeCtuo7YVDmdBao48B19vhtrRhVdWAXydaQ2DVgsY,50.36,40272.32,0.0000,11,255,4.31,2.70,585655.48,73.33,3.74,0.00,100.00,0.00,100.00,3.00,74.07,20693.37,2882.54,10335.68,170.79,209.23%,-9.17%
6LWprszZY5t2xW4bZEy4MjmGJogVUhsPP7DpJziSfWJ8,50.37,1627.66,0.0000,0,12,0.00,0.00,798051597.39,66.67,65.04,0.00,0.00,6.88,100.00,6.89,100.00,1806.91,155.13,95422.00,138.70,909.33%,-21.72%
6XyMnY7yV1aca1Y27z35vNysEbw8nSfiAxQGCMbMR15k,50.46,2303.26,0.0000,12,121,9.92,3.90,301131320.85,54.55,34.13,0.51,100.00,0.51,100.00,4.58,57.14,3777.78,187.14,10404.95,80.71,167.53%,-38.55%
HCLvA6To1F7GjjMhoaFvoKFHNn4pmDWXDy1b2CpUz2kC,50.50,17812.43,0.0000,33,415,7.95,1.70,820720.08,80.24,3.79,0.00,100.00,0.00,100.00,8.48,79.12,16509.95,-68.39,14794.70,57.28,9.90%,-13.20%
GKMUxpHS5uoW1dqjxzyJP66bHC3GbsKaQKU1tzXmzReb,50.65,31652.29,0.0000,116,2019,5.75,4.44,6488.52,53.54,19.54,0.17,84.62,0.96,78.79,3.46,58.46,95460.78,1574.79,6318.99,196.88,54.28%,-16.12%
4GD2Qdd4sekcWn7LVP5WwZd6AkF24MdZUz6uBc1SVvQB,50.90,26463.98,0.0000,0,45,0.00,4.60,155854.58,71.11,2.36,10.33,66.67,73.73,60.00,100.00,71.11,1051.11,-131.30,2508.01,85.50,-,-
GsbjKVpmusptbt5RwwQ6z7P4cEVhqXbhRMHPwQ4hfRp4,51.08,9994.73,0.0000,10,143,6.99,3.90,4712.32,62.94,1366.95,0.36,50.00,1.40,53.85,2856.18,61.61,914242.92,0.00,135.85,58.90,967.27%,-54.35%
2hv69xsdKcjENqJCbqC3CUrxpu3B4C7AmCTFRbMrXYHg,51.29,51890.22,0.0000,11,144,7.64,3.10,4479.94,65.97,51.76,5.50,50.00,10.78,33.33,10856.88,67.92,34347.87,0.00,133.89,57.28,376.63%,-51.64%
DEvWVrR8PoVy43oNWmGf21WuB6dGkFUj61Zp22GPTmH3,51.44,10074.39,0.0000,3,39,7.69,2.50,317844953.88,51.28,81.97,0.00,100.00,0.00,100.00,0.00,100.00,68294.13,5094.27,19103.29,291.84,470.65%,-55.24%
BFdXstBBfG4S8t6GAkV4iVJdCyCnhtwqdJbaeEmxTqen,51.45,18904.80,0.0000,13,208,6.25,4.80,58807.51,45.67,33.21,0.04,100.00,2.86,80.00,46.89,55.56,14565.05,6652.80,4858.63,119.51,67.13%,-41.82%
Fk3iDM4WXp7PCMhnuSJLTUSWMEnonon2YyYGL566nGDd,51.61,79874.70,0.0000,4,41,9.76,3.90,1708292.94,46.34,10.18,5.41,100.00,3.76,50.00,100.00,46.34,14796.46,1794.39,250.21,780.06,-,-
GMejta1xr3D6WbSeXXgT3rDr9Q37ZQRXomER2WLvEutF,51.63,112220.28,0.0000,1,36,2.78,2.90,1068432.79,69.44,1356.91,0.00,0.00,0.00,50.00,272.45,62.07,101690.81,-110.54,755.47,92.14,18691.57%,-
8XReYn2sPJg6hyFGyDWkrg6SbHBdMWmFcDGLqbpd3L4Y,52.20,10643.53,0.0000,1,18,5.56,1.30,13174.05,50.00,32.35,1.06,100.00,1613.73,61.54,100.00,50.00,8066.07,345.72,2466.34,46.60,-,-
4Q5RDrqSs1RGp75qpA7KwChPB89MoeCsNoc76i37oEe2,52.21,122225.08,0.0000,13,149,8.72,3.50,4585.10,66.44,447.47,0.94,100.00,3.25,53.85,316.41,63.79,305751.74,0.00,136.88,55.48,1355.97%,-38.96%
DQ3bEghw8cJewdZKVhc73g5dDznZyHE7hmcPDQy6ARwY,52.33,9798.77,0.0000,11,140,7.86,3.00,4586.05,67.86,203.99,0.18,33.33,1.76,46.15,628.90,67.65,137141.12,0.00,135.54,63.04,275.45%,-48.19%
2w5HZRNzJHKa4eRGw3EypSUxU6KXLoA9Aqm3j6dH5AR5,52.55,55354.70,0.0000,83,1535,5.41,4.20,45337.58,46.71,3.20,0.73,45.45,10.71,50.77,35.05,42.15,17799.81,-99.14,2236.83,173.81,522.06%,-9.05%
6TFjFSixo2DCJ72uPLd7XjCUiYsioJHqsNKGxydFyzzC,52.68,16094.99,0.0000,29,455,6.37,4.10,8981.34,54.07,4.58,1.47,71.43,2.36,69.23,11.83,62.69,38993.48,2643.28,10282.18,413.74,26.59%,-18.29%
DwPzTXJQ7UMZ27yvftggWPJs5znykpZeGfqPgub9XmQD,52.71,8712.56,0.0000,3,52,5.77,3.10,26883.49,50.00,19.51,11.01,100.00,17.43,80.00,9123.16,52.17,6239.00,3249.48,283.70,519.94,195.31%,-44.22%
G4embtJQddddGyM5WRJ2DFkbuSowqkcBV17fuusnh55b,52.75,44222.44,0.0000,0,22,0.00,2.50,1032116.54,77.27,14.41,15.95,100.00,20.20,100.00,100.00,77.27,5201.88,66.20,3898.75,187.93,-,-
7nXLN8rh2UMtzMHPqRBun6ncfK3GjvZwSkm3zLPPEXNV,52.83,62222.27,0.0000,11,151,7.28,3.70,282516.41,59.60,9.71,0.12,60.00,4.37,60.00,21.24,62.71,26886.76,-262.09,25795.10,94.83,16.20%,-21.66%
3DcBEVDt5yoyxt2rxXZNqbSdRzGF3By8wkMiPo9cHrJf,52.89,7455.08,0.0000,1,13,7.69,2.10,4740641.63,69.23,85.74,4.17,100.00,4.17,100.00,9548.82,100.00,11212.63,822.94,790.98,421.82,15.77%,-25.44%
4y8rfdv1VkQjh7jmZGPktD5Cqxs1EptgqtzvMqBzZnp1,52.96,11689.81,0.0000,9,143,6.29,4.00,4531.72,70.63,163.46,3.38,33.33,2.02,41.67,1950.48,70.09,110243.74,0.00,139.78,55.85,440.34%,-56.69%
9hMBW4Ku8AnTWogYrJXjvGo4opGBh1j4NM1g3oPm24ju,53.25,12696.36,0.0000,2,20,10.00,3.50,5322.54,55.00,26.76,37.68,50.00,3047.97,70.00,100.00,55.00,26490.03,-0.00,179.28,1400.85,-,-
Hzj1pQZprXxdABY6rCGntvBFuhGXUTt49ZQ8YPTUny5u,53.28,28283.87,0.0000,7,80,8.75,5.30,17562.83,50.00,4.00,643.04,78.95,288.68,59.62,100.00,50.00,2535.02,-204.72,729.46,462.28,-,-
