wallet,Risk_Score,portfolio_value_usd,SOL_balance,Farming_Attempts,Total_Tokens,Farming_Ratio_Percentage,Avg_Risk_Last_10_Tokens,Avg_MC_Last_10_Tokens,Winrate,ROI,ROI_1d,Win_Rate_1d,ROI_7d,Win_Rate_7d,ROI_30d,Win_Rate_30d,Realized_Gains,Unrealized_Gains,Average_Holding_Time_min,Avg_Buy_Size,Avg_Profit_Per_Trade_%,Avg_Loss_Per_Trade_%
uJmk1DJsoVtVyWeGa6vS3Sq37tRGypS5HRc33HWGRX9,26.99,298995.18,0.0000,59,1800,3.28,2.20,314065434.80,52.06,0.88,0.00,50.00,5.81,67.92,34.29,63.52,15842.07,486.47,20740.74,78.08,110.83%,-9.19%
7PQoZt4DyQtkjiFEmgr1FVDAJKmp8T41CcBvzkz5iFSR,27.35,12570.16,0.0000,27,464,5.82,2.80,4763585.53,75.65,5.75,1.05,84.62,5.71,83.33,34.62,85.47,7564.06,4316.19,19143.81,34.52,15.79%,-25.95%
TaycxuUCXJh1ytaxPuqCvNmSouhDv9gqaZUZKmABJaw,27.69,38738.03,0.0000,3,35,8.57,0.00,854046506.16,82.86,136.39,1.70,36.36,188.93,79.41,100.00,82.86,16683.46,123.07,7572.92,38.13,-,-
hPNxsGPKSdoHHCKnV6mYUqL3JFFax7frcaRJvx7VNFt,27.90,227286.46,0.0000,0,918,0.00,2.60,9936676.83,46.95,1.19,0.78,80.00,0.79,50.00,40.41,64.86,8587.86,-997.25,21998.47,77.10,17.12%,-19.14%
GBNFLgBfMkgeNB8mFLyRsebRiigghET4JmXkwMFQKBCZ,27.99,76947.71,0.0000,117,1585,7.38,0.90,10242215.42,50.54,0.74,0.38,80.00,1.45,73.68,16.02,66.15,6470.55,-454.82,20061.54,52.17,90.45%,-9.22%
HHVReck9utxao7p8zjuUKnzhMGpDL4BkB44PuixWDJ9y,28.01,141185.70,0.0000,1,3082,0.03,1.60,140843986.17,50.29,0.87,0.41,55.79,0.71,42.11,3.62,58.05,31241.41,5063.81,24117.98,65.57,54.98%,-7.55%
7tGMyZTgDpQcuuE3ADvpsvr29F6f75ZDV62cm57h1YtV,28.03,76792.23,0.0000,5,98,5.10,4.10,2596746.77,58.16,1.40,220.98,62.50,311.56,61.11,270.51,58.33,1571.15,-830.25,1972.47,223.47,4.42%,-6.25%
FX1LBr2TVPGDpL62ru6YUouX2RVRZPfZHs6FMM3tXFwf,28.08,52361.62,0.0000,24,1856,1.29,2.60,4703121.47,52.32,0.76,0.47,57.14,2.23,55.56,51.68,55.34,8671.43,-345.14,27282.65,36.32,11.29%,-12.73%
2UHJZurhZmKa82HTxBa7tFSCGySWLGyCZHMdXf6Av9HP,28.32,23585.88,0.0000,0,198,0.00,3.10,1804078.44,66.16,233.03,-0.00,0.00,0.10,66.67,8.73,62.50,35815.51,214.21,16903.92,47.08,428.10%,-57.76%
BHbdRoCXcZzEYCHTKFkn5kJgD5wn7NBjU6BMT6888UY1,28.77,249730.73,0.0000,17,980,1.73,1.40,3212388.28,54.80,0.85,0.92,57.14,5.13,45.31,41.28,57.08,5501.15,-684.94,17846.09,38.03,5.29%,-6.43%
5og7i2n6WFXysXHatz9sYAZ2Rvac5iDV2Q4pDhrGYN8z,29.04,1233007.77,0.0000,8,5586,0.14,3.10,2466553.31,55.39,0.49,0.89,48.53,3.39,48.79,16.46,44.37,90890.25,-1059.72,59800.74,71.58,4.05%,-8.63%
Ee75xRnVseaEzd2B2pEMjfXsoqSdVAb7YxBpdKGM9RYd,29.08,868842.54,0.0000,125,1719,7.27,3.00,3618447.23,56.49,0.61,4.22,70.91,22.72,68.45,79.97,61.09,5866.05,-831.55,9691.37,59.81,11.86%,-12.78%
AfpqMknHaCAiM4DNX5siBYcqQJ2cZHtixzouQfitKDJ2,29.19,971196.73,0.0000,12,2710,0.44,2.20,1705384.97,53.36,1.17,0.71,58.33,5.98,62.78,18.14,62.44,31993.09,-12638.61,20431.73,81.12,16.37%,-28.46%
H8bYzss7NAZzHeBwyARahPbCLD3WkxXfQHWAKHmd8xRY,29.22,75797.93,0.0000,15,1471,1.02,0.80,113544824.22,52.55,0.63,0.00,100.00,0.00,100.00,54.12,56.35,3277.67,357.47,22706.49,25.07,11.58%,-9.61%
4WaSmeXkhrToNiaiUiNA4kHaviVE5cdtuAzjjnNvmoY9,29.60,290179.17,0.0000,19,899,2.11,3.50,8517448.68,54.17,1.33,0.64,75.00,3.17,58.82,71.37,54.59,5444.33,627.09,14074.73,61.38,8.93%,-10.05%
Cbn3bWSUHQY7mfc7rD3CE4UebwXvTncHk5Cb7V3xPuJh,29.83,137015.56,0.0000,80,1705,4.69,1.50,9993466.75,56.48,0.90,5.47,57.14,2.82,55.56,16.14,55.28,4542.25,-450.65,15622.63,33.50,7.04%,-12.01%
45V2Kau9RyTvQxKDH5U4X88Brran8T6wGYPgDD7A4j1i,29.84,92368.14,0.0000,36,1379,2.61,0.40,538521518.99,55.47,1.12,0.33,28.57,0.73,36.84,15.73,57.80,9293.24,-1244.01,24959.64,57.28,120.33%,-11.53%
E7JTp5hqrGhfFhNCW281VXGcHn4PWr9GdtpCZWAFyDgF,30.20,18860.73,0.0000,5,344,1.45,3.50,646046.19,73.55,7.51,14.43,100.00,118.97,86.67,522.71,77.72,9345.67,-68.82,1066.76,110.42,27.67%,-29.09%
36tJcHftw4vNkBuDJw3JJkyvRDxWumUMkQKJB3nHmBbx,30.30,136090.71,0.0000,0,1056,0.00,2.20,3366280.79,52.18,0.64,0.02,100.00,0.02,100.00,3.82,49.53,6760.70,-794.03,19294.03,110.97,5.02%,-7.38%
GwzCbdZ4SpSV9KePXJKyvhXE1Bpe7E4yhsNBJdpGyYrd,30.51,325610.68,0.0000,101,1783,5.66,1.50,8761072.17,48.85,1.29,0.41,50.00,5.77,57.00,228.13,53.08,9058.56,1796.70,26642.87,50.86,69.97%,-12.26%
GyT69CwNiqEgNKX7vqp3TGZzwUYvgrGEZTDtBj4sGNpY,30.53,5004.25,0.0000,9,153,5.88,3.10,16062063.05,46.41,12.93,4.30,100.00,100.89,100.00,184.20,70.00,6697.51,3155.22,1457.57,402.14,44.38%,-20.63%
D1Qspm9yGnc3XYUcNLzwe7sFaDzTBkwT9cuKuuLsDziN,30.90,156087.37,0.0000,87,1707,5.10,1.20,10872188.91,53.72,0.77,0.14,57.89,0.18,50.00,22.23,43.65,4443.50,-120.14,18022.62,29.92,7.43%,-9.24%
FGR7mEy8DC76M8R1frTL6bkzKxH8s24qdwfgcTpSDtUj,31.30,90162.21,0.0000,1,29,3.45,2.90,32606488.25,51.72,345.15,0.00,0.00,81.21,37.50,100.00,51.72,44079.28,-700.28,711.05,251.02,-,-
Hc6WGt2kbuRn1QmS9XG7tZLtwXV6ptBCc44UEZJnVCYb,31.42,121427.40,0.0000,15,155,9.68,2.20,4929735.10,51.61,5.54,4.18,83.33,6.98,77.78,73.76,67.57,21167.96,6363.59,13464.80,630.51,50.38%,-37.77%
